company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
JINDALSTEL,Mar 2024,+,-,+,Growth Funded by Debt
EICHERMOT,Mar 2024,+,-,-,Reinvestor
IRFC,Mar 2024,+,-,-,Reinvestor
ADANIENT,Mar 2024,+,-,+,Growth Funded by Debt
TECHM,Mar 2024,+,-,-,Reinvestor
ITC,Mar 2024,+,+,-,Shareholder Returns
DRREDDY,Mar 2024,+,-,-,Reinvestor
GRASIM,Mar 2024,-,-,+,Expansion Phase
IRCTC,Mar 2024,+,-,-,Reinvestor
HINDALCO,Mar 2024,+,-,-,Reinvestor
HDFCLIFE,Mar 2024,+,-,-,Reinvestor
HINDUNILVR,Mar 2024,+,-,-,Reinvestor
HDFCBANK,Mar 2024,+,+,-,Shareholder Returns
ICICIBANK,Mar 2024,+,-,+,Growth Funded by Debt
TRENT,Mar 2024,+,-,-,Reinvestor
HCLTECH,Mar 2024,+,-,-,Reinvestor
ICICIGI,Mar 2024,+,-,-,Reinvestor
HAVELLS,Mar 2024,+,-,-,Reinvestor
ICICIPRULI,Mar 2024,-,+,-,Turnaround
HAL,Mar 2024,+,-,-,Reinvestor
TORNTPHARM,Mar 2024,+,-,-,Reinvestor
INDIGO,Mar 2024,+,-,-,Reinvestor
INDUSINDBK,Mar 2024,-,-,-,Cash Burn
ABB,Mar 2024,+,-,-,Reinvestor
INFY,Mar 2024,+,-,-,Reinvestor
GODREJCP,Mar 2024,+,-,+,Growth Funded by Debt
TITAN,Mar 2024,+,-,-,Reinvestor
IOC,Mar 2024,+,-,-,Reinvestor
GAIL,Mar 2024,+,-,-,Reinvestor
ADANIENSOL,Mar 2024,+,-,-,Reinvestor
JIOFIN,Mar 2024,-,+,-,Turnaround
BAJAJ-AUTO,Mar 2024,+,-,-,Reinvestor
TCS,Mar 2024,+,+,-,Shareholder Returns
BOSCHLTD,Mar 2024,+,+,-,Shareholder Returns
AMBUJACEM,Mar 2024,+,-,+,Growth Funded by Debt
NTPC,Mar 2024,+,-,-,Reinvestor
ONGC,Mar 2024,+,-,-,Reinvestor
SUNPHARMA,Mar 2024,+,-,-,Reinvestor
BHEL,Mar 2024,-,+,+,Operating Stress
PFC,Mar 2024,-,-,+,Expansion Phase
BHARTIARTL,Mar 2024,+,-,-,Reinvestor
APOLLOHOSP,Mar 2024,+,-,-,Reinvestor
PIDILITIND,Mar 2024,+,-,-,Reinvestor
BEL,Mar 2024,+,-,-,Reinvestor
SIEMENS,Sep 2024,+,-,-,Reinvestor
NHPC,Mar 2024,+,-,-,Reinvestor
PNB,Mar 2024,-,-,+,Expansion Phase
POWERGRID,Mar 2024,+,-,-,Reinvestor
BAJFINANCE,Mar 2024,-,-,+,Expansion Phase
ASIANPAINT,Mar 2024,+,-,-,Reinvestor
RECLTD,Mar 2024,-,-,+,Expansion Phase
SHRIRAMFIN,Mar 2024,-,-,+,Expansion Phase
BAJAJHLDNG,Mar 2024,+,-,-,Reinvestor
RELIANCE,Mar 2024,+,-,-,Reinvestor
SBILIFE,Mar 2024,+,-,-,Reinvestor
BAJAJFINSV,Mar 2024,-,-,+,Expansion Phase
AXISBANK,Mar 2024,-,-,+,Expansion Phase
SBIN,Mar 2024,+,-,-,Reinvestor
SHREECEM,Mar 2024,+,-,-,Reinvestor
BANKBARODA,Mar 2024,-,-,+,Expansion Phase
DMART,Mar 2024,+,-,-,Reinvestor
HEROMOTOCO,Mar 2024,+,-,-,Reinvestor
TATACONSUM,Mar 2024,+,-,+,Growth Funded by Debt
JSWENERGY,Mar 2024,+,-,+,Growth Funded by Debt
DLF,Mar 2024,+,-,+,Growth Funded by Debt
JSWSTEEL,Mar 2024,+,-,-,Reinvestor
KOTAKBANK,Mar 2024,+,-,+,Growth Funded by Debt
ADANIGREEN,Mar 2024,+,-,+,Growth Funded by Debt
TATASTEEL,Mar 2024,+,-,-,Reinvestor
LICI,Mar 2024,+,-,-,Reinvestor
DIVISLAB,Mar 2024,+,-,-,Reinvestor
LODHA,Mar 2024,+,-,+,Growth Funded by Debt
DABUR,Mar 2024,+,-,-,Reinvestor
LT,Mar 2024,+,+,-,Shareholder Returns
COALINDIA,Mar 2024,+,-,-,Reinvestor
BPCL,Mar 2024,+,-,-,Reinvestor
ADANIPORTS,Mar 2024,+,-,-,Reinvestor
LTIM,Mar 2024,+,-,-,Reinvestor
M&M,Mar 2024,-,-,+,Expansion Phase
CIPLA,Mar 2024,+,-,-,Reinvestor
MARUTI,Mar 2024,+,-,-,Reinvestor
CHOLAFIN,Mar 2024,-,-,+,Expansion Phase
TATAMOTORS,Mar 2024,+,-,-,Reinvestor
MOTHERSON,Mar 2024,+,-,+,Growth Funded by Debt
CANBK,Mar 2024,+,-,-,Reinvestor
ADANIPOWER,Mar 2024,+,+,-,Shareholder Returns
NAUKRI,Mar 2024,+,-,+,Growth Funded by Debt
BRITANNIA,Mar 2024,+,+,-,Shareholder Returns
NESTLEIND,Mar 2024,+,-,-,Reinvestor
TATAPOWER,Mar 2024,+,-,-,Reinvestor
TVSMOTOR,Mar 2024,-,-,+,Expansion Phase
