Metric,Mean,Median,Std,Min,P25,P50,P75,Max
return_on_equity_pct,105.18,17.26,569.91,-5.33,12.73,17.26,29.76,4744.05
debt_to_equity,1.67,0.36,2.77,0.0,0.07,0.36,1.65,14.87
operating_profit_margin_pct,34.75,26.69,26.07,0.19,17.58,26.69,41.75,102.03
free_cash_flow_cr,2713.87,1318.5,23882.56,-101229.0,-1813.5,1318.5,10056.0,50429.0
compounded_sales_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interest_coverage,115.22,13.86,435.77,0.58,3.03,13.86,86.01,3764.5
asset_turnover,2.99,0.72,14.18,0.01,0.23,0.72,1.18,125.89
net_profit_margin_pct,19.1,14.44,40.78,-3.98,7.47,14.44,20.38,432.73
book_value_per_share,163.37,102.46,185.93,3.76,31.69,102.46,217.54,668.33
earnings_per_share,82.36,43.0,134.64,-5.0,17.0,43.0,83.25,844.0
