ratio_edge_cases.log created successfully
============================================

ABB Dec 2012 | ROE Difference=12.49% | Category: Version Difference
ABB Dec 2012 | ROCE Difference=23.59% | Category: Formula Difference
ABB Mar 2014 | ROE Difference=9.77% | Category: Version Difference
ABB Mar 2014 | ROCE Difference=20.87% | Category: Formula Difference
ABB Mar 2014 | ROE Difference=9.77% | Category: Version Difference
ABB Mar 2014 | ROCE Difference=20.87% | Category: Formula Difference
ABB Mar 2015 | ROE Difference=10.46% | Category: Version Difference
ABB Mar 2015 | ROCE Difference=21.56% | Category: Formula Difference
ABB Mar 2015 | ROE Difference=10.46% | Category: Version Difference
ABB Mar 2015 | ROCE Difference=21.56% | Category: Formula Difference
ABB Mar 2016 | ROE Difference=13.56% | Category: Version Difference
ABB Mar 2016 | ROCE Difference=24.66% | Category: Formula Difference
ABB Mar 2016 | ROE Difference=13.56% | Category: Version Difference
ABB Mar 2016 | ROCE Difference=24.66% | Category: Formula Difference
ABB Mar 2017 | ROE Difference=14.93% | Category: Version Difference
ABB Mar 2017 | ROCE Difference=26.03% | Category: Formula Difference
ABB Mar 2017 | ROE Difference=14.93% | Category: Version Difference
ABB Mar 2017 | ROCE Difference=26.03% | Category: Formula Difference
ABB Mar 2018 | ROE Difference=11.21% | Category: Version Difference
ABB Mar 2018 | ROCE Difference=22.31% | Category: Formula Difference
ABB Mar 2018 | ROE Difference=11.21% | Category: Version Difference
ABB Mar 2018 | ROCE Difference=22.31% | Category: Formula Difference
ABB Mar 2019 | ROE Difference=12.49% | Category: Version Difference
ABB Mar 2019 | ROCE Difference=23.59% | Category: Formula Difference
ABB Mar 2019 | ROE Difference=12.49% | Category: Version Difference
ABB Mar 2019 | ROCE Difference=23.59% | Category: Formula Difference
ABB Mar 2020 | ROE Difference=10.51% | Category: Version Difference
ABB Mar 2020 | ROCE Difference=21.61% | Category: Formula Difference
ABB Mar 2020 | ROE Difference=10.51% | Category: Version Difference
ABB Mar 2020 | ROCE Difference=21.61% | Category: Formula Difference
ABB Mar 2021 | ROE Difference=8.34% | Category: Version Difference
ABB Mar 2021 | ROCE Difference=19.44% | Category: Formula Difference
ABB Mar 2021 | ROE Difference=8.34% | Category: Version Difference
ABB Mar 2021 | ROCE Difference=19.44% | Category: Formula Difference
ABB Mar 2022 | ROE Difference=6.57% | Category: Version Difference
ABB Mar 2022 | ROCE Difference=17.67% | Category: Formula Difference
ABB Mar 2022 | ROE Difference=6.57% | Category: Version Difference
ABB Mar 2022 | ROCE Difference=17.67% | Category: Formula Difference
