id_x,company_id,year_x,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,id_y,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,broad_sector,sub_sector,index_weight_pct,market_cap_category,year_y,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,composite_score
22,ABB,Mar 2024,20.53,24.84,32.47,0.02,141.75,1.13,797.0,Moderate,565.0,176.14285714285714,73.0,83.0,1213.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,Industrials,Capital Goods,0.81,Large Cap,2024.0,1536236.24,1619349.16,75.58,4.48,12.63,0.96,34.348
23,ABB,Mar 2024,20.53,24.84,32.47,0.02,141.75,1.13,1095.0,Capital Intensive,565.0,176.14285714285714,73.0,83.0,6038.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,Industrials,Capital Goods,0.81,Large Cap,2024.0,1536236.24,1619349.16,75.58,4.48,12.63,0.96,34.348
34,ADANIENSOL,Mar 2024,7.2,34.39,9.46,2.93,2.28,0.28,1095.0,Capital Intensive,10.0,11.337219730941705,0.0,37070.0,6038.0,,-50.0,-50.0,,,"https://m.economictimes.com/thumb/msid-117371599,width-1200,height-900,resizemode-4,imgsize-5642/the-growth-story-remains-intact-for-adani-energy-solutions-says-jefferies.jpg",Adani Energy Solutions Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIENSOL,"AESL, part of the Adani portfolio, is a multidimensional organization with presence in various facets of the energy domain, namely power transmission, distribution, smart metering, and cooling solutions. AESL is India's largest private transmission company",https://www.adanienergysolutions.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENSOL,https://www.bseindia.com/stock-share-price/adani-energy-solutions-ltd/ADANIENSOL/539254/,10.0,175.0,9.0,8.59,Energy,Power & Utilities,0.65,Large Cap,2024.0,348517.36,439276.19,58.5,9.05,14.83,1.65,9.585
46,ADANIENT,Mar 2024,3.46,11.8,8.53,1.67,2.75,0.6,-8455.0,Capital Intensive,28.0,342.7719298245614,5.0,65310.0,10312.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/ADANIENT.png,Adani Enterprises Ltd,https://in.tradingview.com/chart/?symbol=ADANIENT,"Adani Enterprises Ltd is an Indian multinational public company and a subsidiary of Adani Group. It is headquartered in Ahmedabad and has business interests in coal mining and trading, airport operations, edible oils, road, rail and water infrastructure, data centers, hydrocarbon exploration, defence and aerospace, multimodal logistics, and agro commodities.",https://www.adanienterprises.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENT,https://www.bseindia.com/stock-share-price/adani-enterprises-ltd/adanient/512,1.0,363.0,11.6,13.64,Industrials,Conglomerates,1.5,Large Cap,2024.0,187927.97,191237.75,58.87,10.41,33.01,0.83,4.904999999999999
66,ADANIPORTS,Mar 2024,30.34,58.36,15.35,0.94,5.95,0.23,8250.0,Capital Intensive,38.0,122.17129629629629,16.0,49470.0,15018.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/ADANIPORTS.png,"Adani Ports & Special Economic Zone Ltd
",https://in.tradingview.com/chart/?symbol=NSE%3AADANIPORTS,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",http://www.adaniports.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPORTS,https://www.bseindia.com/stock-share-price/adani-ports-special-economic-zone-ltd/ADANIPORTS/532921/,2.0,265.0,12.9,18.1,Industrials,Infrastructure,2.12,Large Cap,2024.0,675598.01,611165.74,48.9,2.31,31.76,1.16,16.402
78,ADANIPORTS,Mar 2024,30.34,58.36,15.35,0.94,5.95,0.23,8250.0,Capital Intensive,38.0,122.17129629629629,16.0,49470.0,15018.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/ADANIPORTS.png,"Adani Ports & Special Economic Zone Ltd
",https://in.tradingview.com/chart/?symbol=NSE%3AADANIPORTS,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",http://www.adaniports.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPORTS,https://www.bseindia.com/stock-share-price/adani-ports-special-economic-zone-ltd/ADANIPORTS/532921/,2.0,265.0,12.9,18.1,Industrials,Infrastructure,2.12,Large Cap,2024.0,675598.01,611165.74,48.9,2.31,31.76,1.16,16.402
90,ADANIPOWER,Mar 2024,41.37,36.2,48.28,0.8,8.3,0.55,17651.0,Moderate,54.0,11.186155042779362,0.0,34616.0,14170.0,,-50.0,-50.0,,,"https://mkt.in/static/mkt-icons/nifty100/ADANIPOWER.png
",Adani Power Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIPOWER,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10.0,145.0,32.2,57.1,Energy,Power & Utilities,3.01,Large Cap,2024.0,1372183.55,1357949.64,44.57,9.91,24.76,1.65,20.555000000000003
101,AMBUJACEM,Mar 2024,14.29,19.3,11.43,0.02,28.26,0.51,-3295.0,Capital Intensive,16.0,94.21818181818182,12.0,699.0,5646.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/AMBUJACEM.png,Ambuja Cements Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Ambuja Cements Ltd. is among the leading cement companies in India. It is a member of the Adani Group. Currently, Ambuja Cement has a cement capacity of 31 million tonnes with six integrated cement manufacturing plants",https://www.ambujacement.com/,https://www.nseindia.com/get-quotes/equity?symbol=AMBUJACEM,https://www.bseindia.com/stock-share-price/ambuja-cements-ltd/AMBUJACEM/500425/,2.0,205.0,12.8,9.24,Materials,Cement,2.82,Large Cap,2024.0,1281411.04,1198290.68,55.62,9.21,27.67,3.1,10.9565
113,APOLLOHOSP,Mar 2024,4.91,12.56,13.48,0.77,5.57,1.14,383.0,Capital Intensive,63.0,96.33333333333333,26.0,5333.0,1920.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/APOLLOHOSP.png,"Apollo Hospitals
Chain of Indian private hospitals",https://in.tradingview.com/chart/?symbol=NSE%3AAPOLLOHOSP,"Apollo Hospitals Enterprise Limited is an Indian multinational healthcare group headquartered in Chennai. It is the largest for-profit private hospital network in India, with a network of 71 owned and managed hospitals.",https://www.apollohospitals.com/,https://www.nseindia.com/get-quotes/equity?symbol=APOLLOHOSP,https://www.bseindia.com/stock-share-price/apollo-hospitals-enterprise-ltd/apollohosp/508869/,5.0,522.0,17.2,13.81,Healthcare,Healthcare,0.62,Large Cap,2024.0,1905622.43,2433382.94,47.72,7.68,16.74,3.22,6.7175
136,ASIANPAINT,Mar 2024,15.66,21.37,29.68,0.13,41.0,1.19,3556.0,Moderate,57.0,195.08333333333334,58.0,2474.0,6104.0,,-50.0,-50.0,,,https://mkt.in/static/mkt-icons/nifty100/ASIANPAINT.png,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://in.tradingview.com/chart/?symbol=NSE%3AASIANPAINT,"Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1.0,188.0,41.75,31.45,Materials,Paints & Coatings,1.13,Large Cap,2024.0,2126725.18,2475080.63,73.37,3.9,23.94,2.42,17.843999999999998
