company_id,company_name,broad_sector,pe_ratio,sector_median_pe,fcf_yield_pct,valuation_flag
ABB,Abbott India Ltd,Industrials,75.58,48.9,0.051880041574855706,Caution
ABB,Abbott India Ltd,Industrials,75.58,48.9,0.07127809977975783,Caution
ADANIENSOL,Adani Energy Solutions Ltd,Energy,58.5,44.915,0.3141880794689826,Fair
ADANIENT,Adani Enterprises Ltd,Industrials,58.87,48.9,-4.499064189327432,Fair
ADANIGREEN,Adani Green Energy Ltd,Energy,45.26,44.915,-2.61443014217979,Fair
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,48.9,48.9,1.2211403642233938,Fair
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,48.9,48.9,1.2211403642233938,Fair
ADANIPOWER,Adani Power Ltd,Energy,44.57,44.915,1.2863439442922924,Fair
AMBUJACEM,Ambuja Cements Ltd,Materials,55.62,56.035,-0.25713841204302407,Fair
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,47.72,47.06,0.0200984200212211,Fair
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,73.37,56.035,0.16720543083991699,Fair
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,73.37,56.035,0.16720543083991699,Fair
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,29.91,29.91,0.992020247858232,Fair
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,29.91,29.91,0.992020247858232,Fair
AXISBANK,Axis Bank Ltd,Financials,38.14,31.08,-1.5340374357196316,Fair
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,31.08,-4.180016339930263,Discount
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,37.73,31.08,0.06702962960133939,Fair
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,31.08,-3.2317922805711454,Caution
BANKBARODA,Bank of Baroda,Financials,16.89,31.08,-1.279081332956056,Discount
BHARTIARTL,Bharti Airtel Ltd,Communication Services,63.78,48.33,7.345106122639473,Fair
BEL,Bharat Electronics Ltd,Industrials,17.89,48.9,-0.09337302073000636,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,48.9,-0.4410671269170658,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,29.91,0.05908701218425355,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,44.915,5.422883218663305,Caution
BRITANNIA,Britannia Industries Ltd,Consumer Staples,63.91,50.95,0.9391963078561093,Fair
CANBK,Canara Bank,Financials,36.74,31.08,2.6783994097851984,Fair
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,31.08,-3.9650923712808046,Discount
CIPLA,"Cipla Ltd
",Healthcare,59.75,47.06,0.26193536813003726,Fair
COALINDIA,Coal India Ltd,Materials,34.27,56.035,2.9991751112119767,Discount
DABUR,Dabur India Ltd,Consumer Staples,50.95,50.95,1.8435351715372323,Fair
DIVISLAB,Divis Laboratories Ltd,Healthcare,69.95,47.06,0.061423058204904804,Fair
DLF,DLF Ltd,Real Estate,46.26,49.105000000000004,0.07309772065891328,Fair
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,29.91,0.00910553222430331,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,47.06,0.020845250072724943,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,29.91,0.4001945575069012,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,44.915,0.28461990353382827,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,50.95,-0.10280184353453976,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,48.9,-7.063967310949983,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,48.9,0.06861811283803056,Fair
HAVELLS,Havells India Ltd,Industrials,45.41,48.9,0.013285695877801929,Fair
HCLTECH,HCL Technologies Ltd,Information Technology,63.63,60.515,3.8391317512701186,Fair
HDFCBANK,HDFC Bank Ltd,Financials,49.42,31.08,4.412519521183551,Caution
